GEOID,ch_1mi,ch_range
1001,2.590323334,1471.736138
1003,2.350933854,238.0996706
1005,0,1498.37493
1007,0.803968892,1219.911147
1009,0,1858.339122
1011,0,1553.066745
1013,0.937696441,450.4800264
1015,0.747900703,1731.220041
1017,0.472282885,1611.742065
1019,0,2070.640599
1021,0.289510046,1473.241557
1023,0,310.3344571
1025,0,333.9754462
1027,0,1620.961611
1029,0.298889781,1763.517456
1031,0.622765037,434.4862744
1033,0.542860782,674.2870608
1035,0,337.9174237
1037,0.246260284,1591.953067
1039,0.313591762,359.576639
1041,0.115940981,824.6728627
1043,1.497510349,1844.108813
1045,0.162010833,580.1884243
1047,0,604.2721297
1049,0,2056.385706
1051,0.964318132,1523.334458
1053,0,297.7463494
1055,0.882906124,1945.63176
1057,0,551.8850421
1059,0,676.3754709
1061,0,362.7610962
1063,0,302.6128208
1065,0,366.246035
1067,0,1087.694037
1069,2.370455473,388.7252348
1071,0.235583889,2038.691915
1073,6.67389446,1472.399394
1075,0,404.8221452
1077,2.044298482,683.1519651
1079,0,1474.804908
1081,3.731520057,1597.414356
1083,1.503038557,1695.232829
1085,0,1068.376711
1087,0,1562.36584
1089,6.028926856,1833.625055
1091,0,355.3836869
1093,0,660.2401905
1095,0.830523108,1941.186421
1097,8.046302089,245.6973817
1099,0,323.1924212
1101,5.960123824,1413.822425
1103,1.508973457,1754.167454
1105,0,463.273616
1107,0,286.0247893
1109,0,1269.370139
1111,0,1629.045311
1113,7.036711657,1565.365114
1115,0.035477741,1722.250368
1117,1.444335567,1463.850358
1119,0,286.3473601
1121,0.402310453,1605.361859
1123,1.0823733,1601.722077
1125,3.824987791,365.2562268
1127,0.277248362,1523.558509
1129,0,327.6545666
1131,0,347.0385709
1133,0,1265.630862
2013,0,0
2016,0,0
2020,5.682022664,30.1478243
2050,0,0
2060,0,0
2063,0.238337182,0
2066,0,0
2068,0,21.87769784
2070,0,0
2090,0.357584683,5.396120055
2100,0,16
2105,0,16
2110,5.049908097,16
2122,1.093149008,25.82897176
2130,0,0
2150,0,3.110289173
2158,0,0
2164,0,0
2170,0.825344635,31.74724292
2180,0,0
2185,0,0
2188,0,0
2195,0,15.20317267
2198,0,2.61517829
2220,0,16
2230,0,16
